# L=13, N=13, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=6)              S₁acc(ℓ=6)                 S₂(ℓ=6)              S₂acc(ℓ=6)                 EN(ℓ=6)              ENacc(ℓ=6)
    0.010000     -2.594031393419E+01      1.989005447302E+00      6.527658172531E-04      1.844631239862E+00      1.220466050793E-04      2.173877209405E+00      1.562346513036E-02
    0.010723     -2.593602419090E+01      1.987970262930E+00      7.364229297010E-04      1.843483198490E+00      1.394210498046E-04      2.173904150036E+00      1.670140808114E-02
    0.011498     -2.593142786406E+01      1.986871340037E+00      8.303418689036E-04      1.842260787914E+00      1.591991745075E-04      2.173931940822E+00      1.785003928289E-02
    0.012328     -2.592650328619E+01      1.985705442479E+00      9.356953601644E-04      1.840959793389E+00      1.816983912505E-04      2.173960500658E+00      1.907348373944E-02
    0.013219     -2.592122729187E+01      1.984469255489E+00      1.053774168961E-03      1.839575842430E+00      2.072748049571E-04      2.173989725670E+00      2.037603771382E-02
    0.014175     -2.591557511853E+01      1.983159394844E+00      1.185996039880E-03      1.838104410001E+00      2.363272564930E-04      2.174019485908E+00      2.176216627403E-02
    0.015199     -2.590952030122E+01      1.981772417586E+00      1.333914762818E-03      1.836540825537E+00      2.693016488664E-04      2.174049621680E+00      2.323649922426E-02
    0.016298     -2.590303456108E+01      1.980304834379E+00      1.499229248927E-03      1.834880281984E+00      3.066955464275E-04      2.174079939558E+00      2.480382526662E-02
    0.017475     -2.589608768709E+01      1.978753123534E+00      1.683792473801E-03      1.833117847030E+00      3.490630289572E-04      2.174110207999E+00      2.646908416521E-02
    0.018738     -2.588864741088E+01      1.977113746734E+00      1.889620118530E-03      1.831248476677E+00      3.970197726294E-04      2.174140152605E+00      2.823735674661E-02
    0.020092     -2.588067927420E+01      1.975383166436E+00      2.118898710947E-03      1.829267031311E+00      4.512483187345E-04      2.174169450993E+00      3.011385253533E-02
    0.021544     -2.587214648867E+01      1.973557864924E+00      2.373993040115E-03      1.827168294399E+00      5.125034778527E-04      2.174197727296E+00      3.210389484842E-02
    0.023101     -2.586300978758E+01      1.971634364900E+00      2.657452587825E-03      1.824946993883E+00      5.816178028241E-04      2.174224546284E+00      3.421290318308E-02
    0.024771     -2.585322726922E+01      1.969609251504E+00      2.972016692481E-03      1.822597826345E+00      6.595070472995E-04      2.174249407133E+00      3.644637275303E-02
    0.026561     -2.584275423142E+01      1.967479195559E+00      3.320618134671E-03      1.820115483948E+00      7.471755096247E-04      2.174271736854E+00      3.880985105629E-02
    0.028480     -2.583154299698E+01      1.965240977805E+00      3.706384811239E-03      1.817494684087E+00      8.457211427351E-04      2.174290883417E+00      4.130891139355E-02
    0.030539     -2.581954272944E+01      1.962891513826E+00      4.132639147698E-03      1.814730201649E+00      9.563402920053E-04      2.174306108607E+00      4.394912329863E-02
    0.032745     -2.580669923891E+01      1.960427879308E+00      4.602894889107E-03      1.811816903680E+00      1.080331903679E-03      2.174316580663E+00      4.673601989501E-02
    0.035112     -2.579295477748E+01      1.957847335196E+00      5.120850909090E-03      1.808749786200E+00      1.219101027942E-03      2.174321366758E+00      4.967506225160E-02
    0.037649     -2.577824782379E+01      1.955147352304E+00      5.690381687643E-03      1.805524012786E+00      1.374161424432E-03      2.174319425378E+00      5.277160087829E-02
    0.040370     -2.576251285637E+01      1.952325634820E+00      6.315524132550E-03      1.802134954481E+00      1.547137063410E-03      2.174309598694E+00      5.603083457572E-02
    0.043288     -2.574568011519E+01      1.949380142164E+00      7.000460458529E-03      1.798578230485E+00      1.739762306320E-03      2.174290604981E+00      5.945776693264E-02
    0.046416     -2.572767535112E+01      1.946309108599E+00      7.749496894010E-03      1.794849748967E+00      1.953880544229E-03      2.174261031196E+00      6.305716084746E-02
    0.049770     -2.570841956278E+01      1.943111059972E+00      8.567038058432E-03      1.790945747301E+00      2.191441074585E-03      2.174219325791E+00      6.683349153351E-02
    0.053367     -2.568782872032E+01      1.939784826999E+00      9.457556943604E-03      1.786862830890E+00      2.454494006178E-03      2.174163791846E+00      7.079089855060E-02
    0.057224     -2.566581347575E+01      1.936329554498E+00      1.042556053992E-02      1.782598009732E+00      2.745183000870E-03      2.174092580625E+00      7.493313748296E-02
    0.061359     -2.564227885937E+01      1.932744706045E+00      1.147555127069E-02      1.778148731817E+00      3.065735689157E-03      2.174003685614E+00      7.926353195153E-02
    0.065793     -2.561712396189E+01      1.929030063574E+00      1.261198453220E-02      1.773512912409E+00      3.418451635624E-03      2.173894937135E+00      8.378492670867E-02
    0.070548     -2.559024160190E+01      1.925185721566E+00      1.383922278036E-02      1.768688958311E+00      3.805687780540E-03      2.173763997575E+00      8.849964260309E-02
    0.075646     -2.556151797832E+01      1.921212075545E+00      1.516148674995E-02      1.763675786210E+00      4.229841343612E-03      2.173608357297E+00      9.340943422784E-02
    0.081113     -2.553083230762E+01      1.917109804785E+00      1.658280453629E-02      1.758472834306E+00      4.693330245798E-03      2.173425331233E+00      9.851545106567E-02
    0.086975     -2.549805644545E+01      1.912879849219E+00      1.810695940140E-02      1.753080066510E+00      5.198571182085E-03      2.173212056200E+00      1.038182029264E-01
    0.093260     -2.546305449269E+01      1.908523380749E+00      1.973743728363E-02      1.747497968635E+00      5.747955560392E-03      2.172965488898E+00      1.093175304207E-01
    0.100000     -2.542568238579E+01      1.904041769295E+00      2.147737508098E-02      1.741727536183E+00      6.343823606417E-03      2.172682404578E+00      1.150125811495E-01
    0.107227     -2.538578747145E+01      1.899436544060E+00      2.332951083971E-02      1.735770253516E+00      6.988437016929E-03      2.172359396327E+00      1.209017921854E-01
    0.114976     -2.534320806590E+01      1.894709350669E+00      2.529613700338E-02      1.729628064391E+00      7.683950621710E-03      2.171992874891E+00      1.269828793127E-01
    0.123285     -2.529777299897E+01      1.889861904914E+00      2.737905786079E-02      1.723303334088E+00      8.432383581511E-03      2.171579068965E+00      1.332528333509E-01
    0.132194     -2.524930114365E+01      1.884895943976E+00      2.957955226998E-02      1.716798803544E+00      9.235590703311E-03      2.171114025838E+00      1.397079237400E-01
    0.141747     -2.519760093173E+01      1.879813176016E+00      3.189834263093E-02      1.710117536147E+00      1.009523448967E-02      2.170593612306E+00      1.463437094060E-01
    0.151991     -2.514246985640E+01      1.874615229087E+00      3.433557093282E-02      1.703262858003E+00      1.101275855369E-02      2.170013515708E+00      1.531550567630E-01
    0.162975     -2.508369396309E+01      1.869303600258E+00      3.689078251764E-02      1.696238292664E+00      1.198936302222E-02      2.169369244989E+00      1.601361645512E-01
