# N=L, T=1.0, U=0.01, sym gs
#   L               Eg                 S₁(ℓ=L/2)               S₁acc(ℓ=L/2)             S₂(ℓ=L/2)              S₂acc(ℓ=L/2)             EN(ℓ=L/2)              ENacc(ℓ=L/2)

    02     -3.995003124999E+00      1.039286772942E+00      1.110223024625E-16      9.799947061630E-01     -4.440892098501E-16      1.069385125344E+00      2.220446049250E-16
    03     -5.990011092630E+00      1.176320710173E+00      0.000000000000E+00      1.089381314967E+00     -8.881784197001E-16      1.256484253619E+00      4.440892098501E-16
    04     -7.985023361673E+00      1.405860388978E+00      4.620339221717E-06      1.294547363272E+00      5.808400364794E-07      1.495445386987E+00      1.005788703468E-03
    05     -9.980039801417E+00      1.495602593121E+00      1.178958448192E-05      1.376429261742E+00      1.577830841978E-06      1.607539337246E+00      1.689120871626E-03
    06     -1.197506034280E+01      1.613757603048E+00      3.163656165740E-05      1.484927535793E+00      4.536554278538E-06      1.742296801871E+00      2.951700425792E-03
    07     -1.397008492905E+01      1.679159513658E+00      5.670237688466E-05      1.546784182211E+00      8.510284017740E-06      1.819940879070E+00      4.059452612415E-03
    08     -1.596511350363E+01      1.757260252419E+00      1.045698419600E-04      1.620825661444E+00      1.648951457266E-05      1.909929922815E+00      5.700162242279E-03
    09     -1.796014600651E+01      1.808330444682E+00      1.602902009135E-04      1.669882254361E+00      2.623161924207E-05      1.968732388000E+00      7.198658610279E-03
    10     -1.995518237302E+01      1.866412528332E+00      2.500300904323E-04      1.725797088359E+00      4.257774598947E-05      2.035045261304E+00      9.201413277903E-03
    11     -2.195022253350E+01      1.908044954517E+00      3.499362567397E-04      1.766088058678E+00      6.151305758667E-05      2.082258382157E+00      1.106710019842E-02
    12     -2.394526641352E+01      1.954075300479E+00      4.954132811620E-04      1.810708564102E+00      9.007318340029E-05      2.134421081839E+00      1.341452365822E-02
    13     -2.594031393419E+01      1.989005447302E+00      6.527658172524E-04      1.844631239862E+00      1.220466050697E-04      2.173877209405E+00      1.562346513099E-02
    14     -2.793536501260E+01      2.026928508872E+00      8.669491372722E-04      1.881494647855E+00      1.669436282149E-04      2.216809341894E+00      1.829346779608E-02
    15     -2.993041956231E+01      2.056846872492E+00      1.093906129490E-03      1.910580343100E+00      2.159955743645E-04      2.250732653117E+00      2.081983920975E-02
    16     -3.192547749387E+01      2.088920275158E+00      1.388173608815E-03      1.941768197985E+00      2.814028911206E-04      2.287225904116E+00      2.378675857550E-02
    17     -3.392053871536E+01      2.114950885201E+00      1.695179694567E-03      1.967055455839E+00      3.515521293904E-04      2.317005368470E+00      2.660314965516E-02
    18     -3.591560313287E+01      2.142599907833E+00      2.078842066149E-03      1.993903969389E+00      4.414854814641E-04      2.348765230360E+00      2.983927384566E-02
    19     -3.791067065107E+01      2.165531968639E+00      2.474233944942E-03      2.016131886729E+00      5.365348714958E-04      2.375321293857E+00      3.291734215618E-02
