# L=12, N=12, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=6)              S₁acc(ℓ=6)                 S₂(ℓ=6)              S₂acc(ℓ=6)                 EN(ℓ=6)              ENacc(ℓ=6)                 S₁(n=6)                 S₂(n=6)
    0.086975     -2.353886911320E+01      1.884612902507E+00      1.477286064638E-02      1.727864475466E+00      4.104695730566E-03      2.134155814018E+00      9.193118858147E-02      6.355690430841E-02      1.840793936221E-02
    0.093260     -2.350666711870E+01      1.880493112868E+00      1.616269976100E-02      1.722648877085E+00      4.555824724614E-03      2.133950373325E+00      9.696643008723E-02      7.005084573911E-02      2.060047982739E-02
    0.100000     -2.347228069096E+01      1.876241629867E+00      1.765358937955E-02      1.717240123245E+00      5.047749389903E-03      2.133710990915E+00      1.021960772051E-01      7.711261921816E-02      2.302502162445E-02
    0.107227     -2.343556893536E+01      1.871859322272E+00      1.924897658784E-02      1.711638427464E+00      5.582815700636E-03      2.133434233486E+00      1.076199039256E-01      8.477984390572E-02      2.570170605960E-02
    0.114976     -2.339638262565E+01      1.867347251811E+00      2.095195856037E-02      1.705844509051E+00      6.163317726388E-03      2.133116462706E+00      1.132369774035E-01      9.309141620777E-02      2.865185605797E-02
    0.123285     -2.335456378466E+01      1.862706634609E+00      2.276523136898E-02      1.699859572848E+00      6.791469948747E-03      2.132753835025E+00      1.190456385197E-01      1.020874799963E-01      3.189799109374E-02
    0.132194     -2.330994525143E+01      1.857938798205E+00      2.469104168571E-02      1.693685280039E+00      7.469378487751E-03      2.132342302258E+00      1.250434893159E-01      1.118094021431E-01      3.546384055124E-02
    0.141747     -2.326235023550E+01      1.853045134874E+00      2.673114255882E-02      1.687323710188E+00      8.199011769464E-03      2.131877612854E+00      1.312273876924E-01      1.222997557504E-01      3.937435653012E-02
    0.151991     -2.321159185892E+01      1.848027052060E+00      2.888675438987E-02      1.680777314868E+00      8.982171225048E-03      2.131355313725E+00      1.375934496080E-01      1.336023134115E-01      4.365572730333E-02
    0.162975     -2.315747268736E+01      1.842885920831E+00      3.115853214309E-02      1.674048863467E+00      9.820462653082E-03      2.130770752520E+00      1.441370588625E-01      1.457620527035E-01      4.833539281383E-02
