# L=16, N=16, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=8)              S₁acc(ℓ=8)                 S₂(ℓ=8)              S₂acc(ℓ=8)                 EN(ℓ=8)              ENacc(ℓ=8)
    0.010000     -3.192547749387E+01      2.088920275158E+00      1.388173608809E-03      1.941768197985E+00      2.814028911095E-04      2.287225904117E+00      2.378675857663E-02
    0.010723     -3.192012737177E+01      2.087453908094E+00      1.560147388649E-03      1.940117818123E+00      3.204819830449E-04      2.287261035583E+00      2.539191689473E-02
    0.011498     -3.191439567814E+01      2.085904093464E+00      1.752137992854E-03      1.938366437310E+00      3.647602665659E-04      2.287296919235E+00      2.709748816100E-02
    0.012328     -3.190825554592E+01      2.084267401991E+00      1.966241170752E-03      1.936509092574E+00      4.148817767227E-04      2.287333393673E+00      2.890870145816E-02
    0.013219     -3.190167826190E+01      2.082540417589E+00      2.204730451080E-03      1.934540732514E+00      4.715606181172E-04      2.287370263407E+00      3.083092192952E-02
    0.014175     -3.189463314548E+01      2.080719757374E+00      2.470064935411E-03      1.932456236535E+00      5.355866642066E-04      2.287407294786E+00      3.286963615670E-02
    0.015199     -3.188708742011E+01      2.078802093247E+00      2.764896096452E-03      1.930250436807E+00      6.078313407953E-04      2.287444211619E+00      3.503043478623E-02
    0.016298     -3.187900607703E+01      2.076784174909E+00      3.092073291230E-03      1.927918143028E+00      6.892534092521E-04      2.287480690540E+00      3.731899234289E-02
    0.017475     -3.187035173084E+01      2.074662854102E+00      3.454647672881E-03      1.925454169961E+00      7.809046474900E-04      2.287516356120E+00      3.974104407280E-02
    0.018738     -3.186108446658E+01      2.072435109830E+00      3.855874162159E-03      1.922853367722E+00      8.839353074261E-04      2.287550775748E+00      4.230235975410E-02
    0.020092     -3.185116167785E+01      2.070098074257E+00      4.299211122938E-03      1.920110654685E+00      9.995992082463E-04      2.287583454316E+00      4.500871443052E-02
    0.021544     -3.184053789549E+01      2.067649058894E+00      4.788317376460E-03      1.917221052823E+00      1.129258305041E-03      2.287613828733E+00      4.786585609010E-02
    0.023101     -3.182916460640E+01      2.065085580667E+00      5.327046189185E-03      1.914179725203E+00      1.274386553663E-03      2.287641262328E+00      5.087947036154E-02
    0.024771     -3.181699006199E+01      2.062405387363E+00      5.919435880682E-03      1.910982015281E+00      1.436572875323E-03      2.287665039176E+00      5.405514236928E-02
    0.026561     -3.180395907575E+01      2.059606481939E+00      6.569696723162E-03      1.907623487545E+00      1.617523010384E-03      2.287684358409E+00      5.739831596755E-02
    0.028480     -3.179001280948E+01      2.056687145108E+00      7.282193844665E-03      1.904099968962E+00      1.819060039995E-03      2.287698328563E+00      6.091425064337E-02
    0.030539     -3.177508854251E+01      2.053645954592E+00      8.061426173667E-03      1.900407589339E+00      2.043123427397E-03      2.287705962039E+00      6.460797771540E-02
    0.032745     -3.175911945350E+01      2.050481806527E+00      8.911999681113E-03      1.896542827314E+00      2.291765895475E-03      2.287706169721E+00      6.848424886427E-02
    0.035112     -3.174203433978E+01      2.047193923264E+00      9.838598765785E-03      1.892502542762E+00      2.567149051742E-03      2.287697755833E+00      7.254749593957E-02
    0.037649     -3.172375737194E+01      2.043781867070E+00      1.084595069150E-02      1.888284019112E+00      2.871536089004E-03      2.287679413074E+00      7.680177832690E-02
    0.040370     -3.170420781013E+01      2.040245544246E+00      1.193878704157E-02      1.883884996565E+00      3.207282481407E-03      2.287649718112E+00      8.125073665959E-02
    0.043288     -3.168329971041E+01      2.036585205157E+00      1.312180099922E-02      1.879303702485E+00      3.576824120271E-03      2.287607127453E+00      8.589754643217E-02
    0.046416     -3.166094161570E+01      2.032801438834E+00      1.439960114997E-02      1.874538876858E+00      3.982662882230E-03      2.287549973757E+00      9.074487350155E-02
    0.049770     -3.163703623099E+01      2.028895161920E+00      1.577666240326E-02      1.869589791967E+00      4.427349612987E-03      2.287476462599E+00      9.579483225968E-02
    0.053367     -3.161148008194E+01      2.024867601857E+00      1.725727477492E-02      1.864456265480E+00      4.913464580767E-03      2.287384669706E+00      1.010489473096E-01
    0.057224     -3.158416315663E+01      2.020720274371E+00      1.884549090661E-02      1.859138666258E+00      5.443595531794E-03      2.287272538660E+00      1.065081194028E-01
    0.061359     -3.155496852974E+01      2.016454955465E+00      2.054507331497E-02      1.853637912343E+00      6.020313563923E-03      2.287137879061E+00      1.121725964059E-01
    0.065793     -3.152377196886E+01      2.012073648289E+00      2.235944245584E-02      1.847955460718E+00      6.646147120691E-03      2.286978365118E+00      1.180419499488E-01
    0.070548     -3.149044152236E+01      2.007578545430E+00      2.429162674995E-02      1.842093288664E+00      7.323554492738E-03      2.286791534610E+00      1.241150583092E-01
    0.075646     -3.145483708861E+01      2.002971987274E+00      2.634421574017E-02      1.836053866700E+00      8.054895292675E-03      2.286574788189E+00      1.303900960290E-01
