# L=15, N=15, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=7)              S₁acc(ℓ=7)                 S₂(ℓ=7)              S₂acc(ℓ=7)                 EN(ℓ=7)              ENacc(ℓ=7)
    0.010000     -2.993041956231E+01      2.056846872492E+00      1.093906129487E-03      1.910580343100E+00      2.159955743552E-04      2.250732653116E+00      2.081983920853E-02
    0.010723     -2.992542244251E+01      2.055530581099E+00      1.231040665167E-03      1.909107585887E+00      2.462569092785E-04      2.250763611393E+00      2.223587733197E-02
    0.011498     -2.992006868983E+01      2.054137245300E+00      1.384434739539E-03      1.907542846352E+00      2.806007272243E-04      2.250795288044E+00      2.374199569976E-02
    0.012328     -2.991433316399E+01      2.052663437672E+00      1.555844890461E-03      1.905881360490E+00      3.195444719397E-04      2.250827546824E+00      2.534308356992E-02
    0.013219     -2.990818899413E+01      2.051105707605E+00      1.747186462450E-03      1.904118245077E+00      3.636642800892E-04      2.250860221154E+00      2.704418478256E-02
    0.014175     -2.990160746479E+01      2.049460597832E+00      1.960542449651E-03      1.902248511829E+00      4.136002473545E-04      2.250893110257E+00      2.885048771280E-02
    0.015199     -2.989455789523E+01      2.047724662670E+00      2.198171817334E-03      1.900267084094E+00      4.700618883502E-04      2.250925974983E+00      3.076731285501E-02
    0.016298     -2.988700751130E+01      2.045894487901E+00      2.462517069821E-03      1.898168816181E+00      5.338337366537E-04      2.250958533332E+00      3.280009786043E-02
    0.017475     -2.987892130984E+01      2.043966712207E+00      2.756210803321E-03      1.895948515408E+00      6.057810162287E-04      2.250990455670E+00      3.495437986797E-02
    0.018738     -2.987026191495E+01      2.041938050014E+00      3.082080954012E-03      1.893600966934E+00      6.868552991832E-04      2.251021359668E+00      3.723577498774E-02
    0.020092     -2.986098942598E+01      2.039805315532E+00      3.443154425866E-03      1.891120961362E+00      7.781000467298E-04      2.251050804964E+00      3.964995482736E-02
    0.021544     -2.985106125655E+01      2.037565447757E+00      3.842658760947E-03      1.888503325052E+00      8.806559116932E-04      2.251078287585E+00      4.220261998477E-02
    0.023101     -2.984043196448E+01      2.035215536111E+00      4.284021498798E-03      1.885742953033E+00      9.957656613996E-04      2.251103234160E+00      4.489947048013E-02
    0.024771     -2.982905307191E+01      2.032752846340E+00      4.770866863039E-03      1.882834844293E+00      1.124778560462E-03      2.251124995958E+00      4.774617314608E-02
    0.026561     -2.981687287533E+01      2.030174846259E+00      5.307009414386E-03      1.879774139188E+00      1.269154034761E-03      2.251142842809E+00      5.074832606050E-02
    0.028480     -2.980383624494E+01      2.027479230834E+00      5.896444322097E-03      1.876556158586E+00      1.430464421061E-03      2.251155956946E+00      5.391142017100E-02
    0.030539     -2.978988441291E+01      2.024663946089E+00      6.543333932109E-03      1.873176444284E+00      1.610396593093E-03      2.251163426850E+00      5.724079833567E-02
    0.032745     -2.977495475006E+01      2.021727211248E+00      7.251990351800E-03      1.869630800152E+00      1.810752245196E-03      2.251164241130E+00      6.074161207949E-02
    0.035112     -2.975898053035E+01      2.018667538528E+00      8.026853829411E-03      1.865915333358E+00      2.033446610396E-03      2.251157282545E+00      6.441877645823E-02
    0.037649     -2.974189068274E+01      2.015483749963E+00      8.872466781794E-03      1.862026494936E+00      2.280505392055E-03      2.251141322198E+00      6.827692349264E-02
    0.040370     -2.972360952984E+01      2.012174990667E+00      9.793443417035E-03      1.857961118908E+00      2.554059698828E-03      2.251115013990E+00      7.232035470081E-02
    0.043288     -2.970405651291E+01      2.008740737965E+00      1.079443500793E-02      1.853716459088E+00      2.856338792074E-03      2.251076889409E+00      7.655299340729E-02
    0.046416     -2.968314590245E+01      2.005180805863E+00      1.188009099651E-02      1.849290222680E+00      3.189660484485E-03      2.251025352676E+00      8.097833744385E-02
    0.049770     -2.966078649415E+01      2.001495344430E+00      1.305501624541E-02      1.844680599738E+00      3.556419069003E-03      2.250958676343E+00      8.559941304667E-02
    0.053367     -2.963688128937E+01      1.997684833726E+00      1.432372489526E-02      1.839886287603E+00      3.959070707864E-03      2.250874997347E+00      9.041873070078E-02
    0.057224     -2.961132715990E+01      1.993750072070E+00      1.569059143274E-02      1.834906509442E+00      4.400116273099E-03      2.250772313568E+00      9.543824374385E-02
    0.061359     -2.958401449633E+01      1.989692158539E+00      1.715979971586E-02      1.829741026117E+00      4.882081699918E-03      2.250648480902E+00      1.006593105295E-01
    0.065793     -2.955482683968E+01      1.985512469772E+00      1.873529083362E-02      1.824390140698E+00      5.407495992518E-03      2.250501210834E+00      1.060826609253E-01
    0.070548     -2.952364049587E+01      1.981212631288E+00      2.042071079078E-02      1.818854695091E+00      5.978867104377E-03      2.250328068515E+00      1.117083678724E-01
    0.075646     -2.949032413262E+01      1.976794483711E+00      2.221935909621E-02      1.813136058409E+00      6.598655999915E-03      2.250126471295E+00      1.175358246585E-01
    0.081113     -2.945473835858E+01      1.972260044418E+00      2.413413938971E-02      1.807236106915E+00      7.269249286826E-03      2.249893687665E+00      1.235637284579E-01
    0.086975     -2.941673528450E+01      1.967611465296E+00      2.616751326130E-02      1.801157195561E+00      7.992930885536E-03      2.249626836563E+00      1.297900705735E-01
    0.093260     -2.937615806617E+01      1.962850987393E+00      2.832145839463E-02      1.794902121379E+00      8.771853268720E-03      2.249322886958E+00      1.362121336791E-01
    0.100000     -2.933284042943E+01      1.957980893342E+00      3.059743210007E-02      1.788474079184E+00      9.608008856163E-03      2.248978657639E+00      1.428264962091E-01
    0.107227     -2.928660617706E+01      1.953003458494E+00      3.299634119331E-02      1.781876610272E+00      1.050320218469E-02      2.248590817129E+00      1.496290438828E-01
    0.114976     -2.923726867813E+01      1.947920901721E+00      3.551851902454E-02      1.775113544949E+00      1.145902348580E-02      2.248155883621E+00      1.566149881932E-01
    0.123285     -2.918463034010E+01      1.942735336806E+00      3.816371027523E-02      1.768188939928E+00      1.247682429329E-02      2.247670224861E+00      1.637788915283E-01
    0.132194     -2.912848206429E+01      1.937448725309E+00      4.093106392277E-02      1.761107011718E+00      1.355769566779E-02      2.247130057872E+00      1.711146984466E-01
    0.141747     -2.906860268576E+01      1.932062831673E+00      4.381913453475E-02      1.753872067225E+00      1.470244956595E-02      2.246531448445E+00      1.786157724960E-01
    0.151991     -2.900475839854E+01      1.926579181214E+00      4.682589180685E-02      1.746488432798E+00      1.591160379912E-02      2.245870310289E+00      1.862749378517E-01
    0.162975     -2.893670216757E+01      1.920999021502E+00      4.994873800987E-02      1.738960382969E+00      1.718537092424E-02      2.245142403771E+00      1.940845249585E-01
    0.174753     -2.886417312922E+01      1.915323287436E+00      5.318453277601E-02      1.731292070022E+00      1.852365129055E-02      2.244343334159E+00      2.020364193015E-01
    0.187382     -2.878689598213E+01      1.909552570171E+00      5.652962444106E-02      1.723487455479E+00      1.992603033734E-02      2.243468549287E+00      2.101221123943E-01
    0.200923     -2.870458037105E+01      1.903687089848E+00      5.997988697825E-02      1.715550244378E+00      2.139178010277E-02      2.242513336574E+00      2.183327540690E-01
    0.215443     -2.861692026635E+01      1.897726671940E+00      6.353076141856E-02      1.707483823095E+00      2.291986477174E-02      2.241472819323E+00      2.266592051731E-01
    0.231013     -2.852359334259E+01      1.891670726832E+00      6.717730055678E-02      1.699291201218E+00      2.450894996527E-02      2.240341952237E+00      2.350920898303E-01
    0.247708     -2.842426036014E+01      1.885518232159E+00      7.091421569692E-02      1.690974957782E+00      2.615741536216E-02      2.239115516103E+00      2.436218464948E-01
    0.265609     -2.831856455428E+01      1.879267717292E+00      7.473592419302E-02      1.682537191942E+00      2.786337015128E-02      2.237788111580E+00      2.522387771232E-01
    0.284804     -2.820613103726E+01      1.872917249285E+00      7.863659659300E-02      1.673979477920E+00      2.962467074236E-02      2.236354152075E+00      2.609330939040E-01
    0.305386     -2.808656621928E+01      1.866464419549E+00      8.261020228737E-02      1.665302823852E+00      3.143894011928E-02      2.234807855656E+00      2.696949631133E-01
    0.327455     -2.795945725570E+01      1.859906330458E+00      8.665055269704E-02      1.656507633947E+00      3.330358820312E-02      2.233143236006E+00      2.785145458088E-01
    0.351119     -2.782437152862E+01      1.853239581102E+00      9.075134119718E-02      1.647593673138E+00      3.521583260196E-02      2.231354092419E+00      2.873820352290E-01
    0.376494     -2.768085617232E+01      1.846460251357E+00      9.490617915939E-02      1.638560033260E+00      3.717271916148E-02      2.229433998842E+00      2.962876909280E-01
    0.403702     -2.752843765379E+01      1.839563883472E+00      9.910862769438E-02      1.629405099549E+00      3.917114179012E-02      2.227376292029E+00      3.052218698528E-01
    0.432876     -2.736662142074E+01      1.832545460318E+00      1.033522248845E-01      1.620126516111E+00      4.120786111328E-02      2.225174058849E+00      3.141750547550E-01
