# N=L, T=1.0, U=0.01, sym gs, n_max=6
#   L              Eg                   S₁(ℓ=L/2)              S₁acc(ℓ=L/2)              S₂(ℓ=L/2)             S₂acc(ℓ=L/2)             EN(ℓ=L/2)             ENacc(ℓ=L/2)
    07     -1.396998696486E+01      1.678852576789E+00      6.707702955755E-05      1.546520557347E+00      1.015342708847E-05      1.820608463755E+00      4.861443481076E-03
    08     -1.596481870086E+01      1.756269997016E+00      1.497825597131E-04      1.619926781436E+00      2.411037695084E-05      1.911733762980E+00      8.210710047418E-03
    09     -1.795957713209E+01      1.806383371793E+00      2.714562095148E-04      1.668042485135E+00      4.599176254722E-05      1.971727801251E+00      1.182375151474E-02
    10     -1.995428407697E+01      1.863169193924E+00      4.818944350429E-04      1.722616950647E+00      8.603698525114E-05      2.039504313617E+00      1.668679831225E-02
    11     -2.194895687871E+01      1.903375350730E+00      7.466518979571E-04      1.761395223840E+00      1.393027743629E-04      2.088000071027E+00      2.141704148315E-02
    12     -2.394360832204E+01      1.947711136822E+00      1.139537464469E-03      1.804138438248E+00      2.222415730347E-04      2.141655638003E+00      2.723750529797E-02
    13     -2.593824753895E+01      1.980928393014E+00      1.591321059099E-03      1.836139276587E+00      3.222707469552E-04      2.182340894381E+00      3.270794307115E-02
    14     -2.793288094659E+01      2.016939191707E+00      2.203761250284E-03      1.870767701603E+00      4.635696401468E-04      2.226668059655E+00      3.913153974915E-02
    15     -2.992751300130E+01      2.045002508833E+00      2.870183052860E-03      1.897668158809E+00      6.237899172079E-04      2.261708734444E+00      4.510286020020E-02
    16     -3.192214675859E+01      2.075080688404E+00      3.721392597911E-03      1.926411935516E+00      8.358868627384E-04      2.299455420712E+00      5.191594215922E-02
    17     -3.391678427661E+01      2.099220816901E+00      4.614600888838E-03      1.949369325738E+00      1.066617252450E-03      2.330221005836E+00      5.822561179716E-02
    18     -3.591142690385E+01      2.124887138843E+00      5.708488590556E-03      1.973680229114E+00      1.358222165480E-03      2.363081647532E+00      6.528311775895E-02
    19     -3.790607548396E+01      2.145968240286E+00      6.827850862573E-03      1.993526460117E+00      1.666278428482E-03      2.390491419813E+00      7.181358143276E-02
