# L=18, N=18, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=9)              S₁acc(ℓ=9)                 S₂(ℓ=9)              S₂acc(ℓ=9)                 EN(ℓ=9)              ENacc(ℓ=9)
    0.001000     -3.599150632033E+01      2.167488397776E+00      3.572170401608E-05      2.021168030270E+00      5.152530893729E-06      2.348097818226E+00      3.208777098470E-03
    0.001122     -3.599047079465E+01      2.167106052175E+00      4.413411782905E-05      2.020766638326E+00      6.472393870419E-06      2.348109686747E+00      3.596571630305E-03
    0.001259     -3.598930913686E+01      2.166678891563E+00      5.449905111890E-05      2.020317413086E+00      8.128198280535E-06      2.348122898701E+00      4.030729734288E-03
    0.001413     -3.598800601316E+01      2.166201884730E+00      6.726038508660E-05      2.019814807332E+00      1.020457721336E-05      2.348137591716E+00      4.516666616668E-03
    0.001585     -3.598654423315E+01      2.165669488224E+00      8.295982688656E-05      2.019252669131E+00      1.280713349343E-05      2.348153913756E+00      5.060397682579E-03
    0.001778     -3.598490452692E+01      2.165075606678E+00      1.022574291960E-04      2.018624185629E+00      1.606749411508E-05      2.348172022814E+00      5.668596881631E-03
    0.001995     -3.598306529585E+01      2.164413553123E+00      1.259560587334E-04      2.017921824109E+00      2.014952579979E-05      2.348192086253E+00      6.348658704785E-03
    0.002239     -3.598100233412E+01      2.163676010206E+00      1.550304510619E-04      2.017137270866E+00      2.525696090791E-05      2.348214279645E+00      7.108763430584E-03
    0.002512     -3.597868851759E+01      2.162854993468E+00      1.906615474134E-04      2.016261368733E+00      3.164271399994E-05      2.348238784950E+00      7.957945081433E-03
    0.002818     -3.597609345646E+01      2.161941818118E+00      2.342768573246E-04      2.015284054320E+00      3.962023114124E-05      2.348265787898E+00      8.906161315707E-03
    0.003162     -3.597318310769E+01      2.160927071049E+00      2.875976169443E-04      2.014194296453E+00      4.957725180985E-05      2.348295474331E+00      9.964364158647E-03
    0.003548     -3.596991934265E+01      2.159800590193E+00      3.526935075595E-04      2.012980037639E+00      6.199241725246E-05      2.348328025304E+00      1.114457014042E-02
    0.003981     -3.596625946528E+01      2.158551453632E+00      4.320456467397E-04      2.011628140905E+00      7.745521087688E-05      2.348363610611E+00      1.245992794385E-02
    0.004467     -3.596215567540E+01      2.157167981283E+00      5.286184449470E-04      2.010124344851E+00      9.668974312721E-05      2.348402380482E+00      1.392478126102E-02
    0.005012     -3.595755447123E+01      2.155637752244E+00      6.459407155146E-04      2.008453230359E+00      1.205829328061E-04      2.348444455020E+00      1.555472389812E-02
    0.005623     -3.595239598498E+01      2.153947641199E+00      7.881961046712E-04      2.006598202958E+00      1.502176242161E-04      2.348489911081E+00      1.736664372292E-02
    0.006310     -3.594661324434E+01      2.152083877435E+00      9.603224471572E-04      2.004541495498E+00      1.869111464435E-04      2.348538766046E+00      1.937875119877E-02
    0.007079     -3.594013135255E+01      2.150032129987E+00      1.168119022625E-03      2.002264196268E+00      2.322597346930E-04      2.348590958209E+00      2.161058790094E-02
    0.007943     -3.593286657871E+01      2.147777622289E+00      1.418359861682E-03      1.999746308177E+00      2.881890621489E-04      2.348646323245E+00      2.408300953214E-02
    0.008913     -3.592472534953E+01      2.145305279121E+00      1.718910216938E-03      1.996966844843E+00      3.570108917492E-04      2.348704566443E+00      2.681813764531E-02
    0.010000     -3.591560313287E+01      2.142599907833E+00      2.078842066149E-03      1.993903969389E+00      4.414854814641E-04      2.348765230360E+00      2.983927384566E-02
    0.011220     -3.590538320280E+01      2.139646414465E+00      2.508543078986E-03      1.990535181317E+00      5.448888821710E-04      2.348827657720E+00      3.317077019838E-02
    0.012589     -3.589393527474E+01      2.136430053660E+00      3.019811910978E-03      1.986837555870E+00      6.710836269588E-04      2.348890949507E+00      3.683784984361E-02
    0.014125     -3.588111399888E+01      2.132936708935E+00      3.625931082621E-03      1.982788038676E+00      8.245905029632E-04      2.348953918416E+00      4.086637255220E-02
    0.015849     -3.586675729858E+01      2.129153197195E+00      4.341707218776E-03      1.978363796177E+00      1.010658180419E-03      2.349015038095E+00      4.528254130447E-02
    0.017783     -3.585068453986E+01      2.125067588287E+00      5.183467256673E-03      1.973542619190E+00      1.235326430862E-03      2.349072388862E+00      5.011254791564E-02
