# L=17, N=17, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=8)              S₁acc(ℓ=8)                 S₂(ℓ=8)              S₂acc(ℓ=8)                 EN(ℓ=8)              ENacc(ℓ=8)
    0.010000     -3.392053871536E+01      2.114950885200E+00      1.695179694581E-03      1.967055455839E+00      3.515521294650E-04      2.317005368470E+00      2.660314965534E-02
    0.010723     -3.391483602300E+01      2.113343323853E+00      1.902747032960E-03      1.965236749928E+00      3.999354807915E-04      2.317039349270E+00      2.838402661062E-02
    0.011498     -3.390872687289E+01      2.111646784190E+00      2.134034065208E-03      1.963309017704E+00      4.546650230969E-04      2.317073812790E+00      3.027441888371E-02
    0.012328     -3.390218267665E+01      2.109857901266E+00      2.391446862047E-03      1.961267189701E+00      5.165085723800E-04      2.317108562306E+00      3.227978873652E-02
    0.013219     -3.389517288463E+01      2.107973360959E+00      2.677582295175E-03      1.959106144181E+00      5.863139109057E-04      2.317143364074E+00      3.440570920496E-02
    0.014175     -3.388766485738E+01      2.105989922727E+00      2.995234021128E-03      1.956820731078E+00      6.650146027881E-04      2.317177943231E+00      3.665784495457E-02
    0.015199     -3.387962372926E+01      2.103904443668E+00      3.347396973337E-03      1.954405798715E+00      7.536357444577E-04      2.317211979470E+00      3.904193023968E-02
    0.016298     -3.387101226395E+01      2.101713903631E+00      3.737270032464E-03      1.951856223270E+00      8.532995358708E-04      2.317245102503E+00      4.156374387881E-02
    0.017475     -3.386179070125E+01      2.099415431096E+00      4.168256526600E-03      1.949166940889E+00      9.652305385635E-04      2.317276887331E+00      4.422908118998E-02
    0.018738     -3.385191659489E+01      2.097006329470E+00      4.643962201350E-03      1.946332982287E+00      1.090760467865E-03      2.317306849370E+00      4.704372290281E-02
    0.020092     -3.384134464074E+01      2.094484103371E+00      5.168190297124E-03      1.943349509574E+00      1.231332347004E-03      2.317334439436E+00      5.001340108403E-02
    0.021544     -3.383002649505E+01      2.091846484464E+00      5.744933379071E-03      1.940211854980E+00      1.388503833775E-03      2.317359038696E+00      5.314376224958E-02
    0.023101     -3.381791058214E+01      2.089091456290E+00      6.378361586092E-03      1.936915561068E+00      1.563949515049E-03      2.317379953511E+00      5.644032775164E-02
    0.024771     -3.380494189105E+01      2.086217277570E+00      7.072807000967E-03      1.933456421897E+00      1.759461953007E-03      2.317396410378E+00      5.990845186843E-02
