# L=18, N=18, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=9)              S₁acc(ℓ=9)                 S₂(ℓ=9)              S₂acc(ℓ=9)                 EN(ℓ=9)              ENacc(ℓ=9)
    0.010000     -3.591560313287E+01      2.142599907833E+00      2.078842066149E-03      1.993903969389E+00      4.414854814641E-04      2.348765230360E+00      2.983927384566E-02
    0.010723     -3.590954828357E+01      2.140840484823E+00      2.330216552597E-03      1.991900256954E+00      5.016616198167E-04      2.348802906162E+00      3.181971808195E-02
    0.011498     -3.590306213910E+01      2.138986610188E+00      2.609752317286E-03      1.989779093766E+00      5.696107283218E-04      2.348841046425E+00      3.391972795747E-02
    0.012328     -3.589611439464E+01      2.137035045680E+00      2.920208313433E-03      1.987535350473E+00      6.462494108856E-04      2.348879426924E+00      3.614498799144E-02
    0.013219     -3.588867266929E+01      2.134982646047E+00      3.264545756543E-03      1.985163888840E+00      7.325851549573E-04      2.348917783189E+00      3.850126172992E-02
    0.014175     -3.588070237021E+01      2.132826384056E+00      3.645931491119E-03      1.982659590505E+00      8.297220655111E-04      2.348955806347E+00      4.099436769970E-02
    0.015199     -3.587216654845E+01      2.130563376378E+00      4.067739287263E-03      1.980017388425E+00      9.388663327158E-04      2.348993138768E+00      4.363015232858E-02
    0.016298     -3.586302574613E+01      2.128190910015E+00      4.533548706917E-03      1.977232300880E+00      1.061331283277E-03      2.349029369566E+00      4.641445982717E-02
    0.017475     -3.585323783450E+01      2.125706468840E+00      5.047141175365E-03      1.974299467813E+00      1.198541852835E-03      2.349064029964E+00      4.935309905372E-02
    0.018738     -3.584275784236E+01      2.123107759841E+00      5.612492894783E-03      1.971214189195E+00      1.352038285898E-03      2.349096588577E+00      5.245180748104E-02
    0.020092     -3.583153777439E+01      2.120392738524E+00      6.233764257514E-03      1.967971965037E+00      1.523478869038E-03      2.349126446649E+00      5.571621242636E-02
    0.021544     -3.581952641882E+01      2.117559632951E+00      6.915285444575E-03      1.964568536546E+00      1.714641477992E-03      2.349152933281E+00      5.915178979126E-02
    0.023101     -3.580666914396E+01      2.114606965822E+00      7.661537942664E-03      1.960999927863E+00      1.927423715142E-03      2.349175300725E+00      6.276382064801E-02
    0.024771     -3.579290768294E+01      2.111533573997E+00      8.477131778167E-03      1.957262487721E+00      2.163841415646E-03      2.349192719749E+00      6.655734603989E-02
    0.026561     -3.577817990619E+01      2.108338624847E+00      9.366778344234E-03      1.953352930268E+00      2.426025292330E-03      2.349204275180E+00      7.053712055396E-02
    0.028480     -3.576241958097E+01      2.105021628863E+00      1.033525880016E-02      1.949268374258E+00      2.716215518239E-03      2.349208961648E+00      7.470756518069E-02
    0.030539     -3.574555611166E+01      2.101582446786E+00      1.138738849490E-02      1.945006378293E+00      3.036754166446E-03      2.349205679539E+00      7.907272156214E-02
    0.032745     -3.572751429418E+01      2.098021297690E+00      1.252797549559E-02      1.940564979796E+00      3.390074697647E-03      2.349193231265E+00      8.363619959558E-02
    0.035112     -3.570821399977E+01      2.094338750448E+00      1.376177885707E-02      1.935942715543E+00      3.778689999913E-03      2.349170317878E+00      8.840114095150E-02
    0.037649     -3.568756989843E+01      2.090535721023E+00      1.509346019663E-02      1.931138651021E+00      4.205176803489E-03      2.349135535960E+00      9.337017034498E-02
    0.040370     -3.566549113912E+01      2.086613458444E+00      1.652753436075E-02      1.926152396824E+00      4.672158044950E-03      2.349087374936E+00      9.854535696412E-02
    0.043288     -3.564188101850E+01      2.082573526191E+00      1.806831794711E-02      1.920984119655E+00      5.182282643414E-03      2.349024214725E+00      1.039281782344E-01
    0.046416     -3.561663663243E+01      2.078417777989E+00      1.971987693324E-02      1.915634545934E+00      5.738202950539E-03      2.348944323744E+00      1.095194881201E-01
    0.049770     -3.558964850933E+01      2.074148328295E+00      2.148597443935E-02      1.910104957534E+00      6.342550124232E-03      2.348845857265E+00      1.153194906731E-01
    0.053367     -3.556080022499E+01      2.069767517916E+00      2.337001972798E-02      1.904397179323E+00      6.997907749228E-03      2.348726856058E+00      1.213277194236E-01
    0.057224     -3.552996799827E+01      2.065277875364E+00      2.537501959645E-02      1.898513558406E+00      7.706784126116E-03      2.348585245313E+00      1.275430231622E-01
    0.061359     -3.549702026693E+01      2.060682074658E+00      2.750353332118E-02      1.892456935164E+00      8.471583713462E-03      2.348418833769E+00      1.339635584939E-01
    0.065793     -3.546181724343E+01      2.055982890425E+00      2.975763227992E-02      1.886230606399E+00      9.294578276988E-03      2.348225312993E+00      1.405867894066E-01
    0.070548     -3.542421045003E+01      2.051183151196E+00      3.213886530235E-02      1.879838281115E+00      1.017787835335E-02      2.348002256782E+00      1.474094939988E-01
    0.075646     -3.538404223284E+01      2.046285691884E+00      3.464823067046E-02      1.873284029658E+00      1.112340565323E-02      2.347747120550E+00      1.544277782326E-01
    0.081113     -3.534114525481E+01      2.041293306380E+00      3.728615553589E-02      1.866572227130E+00      1.213286705281E-02      2.347457240710E+00      1.616370965673E-01
    0.086975     -3.529534196710E+01      2.036208701229E+00      4.005248331673E-02      1.859707492133E+00      1.320773079346E-02      2.347129833926E+00      1.690322790482E-01
    0.093260     -3.524644405907E+01      2.031034451220E+00      4.294646941249E-02      1.852694622013E+00      1.434920547276E-02      2.346761996197E+00      1.766075643417E-01
    0.100000     -3.519425188686E+01      2.025772957668E+00      4.596678533514E-02      1.845538525841E+00      1.555822234902E-02      2.346350701693E+00      1.843566380688E-01
    0.107227     -3.513855388064E+01      2.020426409999E+00      4.911153109234E-02      1.838244156418E+00      1.683542137934E-02      2.345892801292E+00      1.922726756545E-01
    0.114976     -3.507912593116E+01      2.014996751107E+00      5.237825542209E-02      1.830816442512E+00      1.818114131981E-02      2.345385020741E+00      2.003483888626E-01
    0.123285     -3.501573075588E+01      2.009485646770E+00      5.576398323368E-02      1.823260222548E+00      1.959541407952E-02      2.344823958403E+00      2.085760750909E-01
