# L=18, N=18, T=1.0, sym gs, n_max=4
#          U         Eg                 S₁(ℓ=9)              S₁acc(ℓ=9)                 S₂(ℓ=9)              S₂acc(ℓ=9)                 EN(ℓ=9)              ENacc(ℓ=9)
    0.001000     -3.577989741010E+01      1.986302637795E+00      8.964793948727E-02      1.780470141919E+00      3.396823621386E-02      2.406587404950E+00      3.300987674994E-01
    0.001122     -3.577898519293E+01      1.986258824846E+00      8.966956691012E-02      1.780415432414E+00      3.397895046055E-02      2.406545003344E+00      3.301203127718E-01
    0.001259     -3.577796171912E+01      1.986209682652E+00      8.969382930444E-02      1.780354066358E+00      3.399097041866E-02      2.406497452054E+00      3.301444914841E-01
    0.001413     -3.577681342640E+01      1.986154565265E+00      8.972104715606E-02      1.780285236436E+00      3.400445498767E-02      2.406444128940E+00      3.301716261269E-01
    0.001585     -3.577552510107E+01      1.986092749029E+00      8.975157978940E-02      1.780208038089E+00      3.401958234649E-02      2.406384337550E+00      3.302020788416E-01
    0.001778     -3.577407967732E+01      1.986023423388E+00      8.978583003733E-02      1.780121457972E+00      3.403655227741E-02      2.406317298463E+00      3.302362563292E-01
    0.001995     -3.577245801240E+01      1.985945680631E+00      8.982424946281E-02      1.780024361088E+00      3.405558876597E-02      2.406242139685E+00      3.302746153906E-01
    0.002239     -3.577063863450E+01      1.985858504494E+00      8.986734419551E-02      1.779915476453E+00      3.407694290970E-02      2.406157885990E+00      3.303176691501E-01
    0.002512     -3.576859746038E+01      1.985760757473E+00      8.991568145165E-02      1.779793381146E+00      3.410089616863E-02      2.406063447145E+00      3.303659940822E-01
    0.002818     -3.576630747886E+01      1.985651166733E+00      8.996989681396E-02      1.779656482571E+00      3.412776399864E-02      2.405957604892E+00      3.304202379329E-01
    0.003162     -3.576373839637E+01      1.985528308478E+00      9.003070235471E-02      1.779502998758E+00      3.415789990896E-02      2.405838998597E+00      3.304811286392E-01
    0.003548     -3.576085623985E+01      1.985390590635E+00      9.009889569284E-02      1.779330936519E+00      3.419169999073E-02      2.405706109480E+00      3.305494844158E-01
    0.003981     -3.575762291218E+01      1.985236233699E+00      9.017537008524E-02      1.779138067247E+00      3.422960796942E-02      2.405557243309E+00      3.306262251287E-01
    0.004467     -3.575399569441E+01      1.985063249590E+00      9.026112565855E-02      1.778921900165E+00      3.427212083434E-02      2.405390511497E+00      3.307123851523E-01
    0.005012     -3.574992668871E+01      1.984869418351E+00      9.035728189829E-02      1.778679652802E+00      3.431979510852E-02      2.405203810502E+00      3.308091279047E-01
    0.005623     -3.574536219509E+01      1.984652262544E+00      9.046509151893E-02      1.778408218469E+00      3.437325382304E-02      2.404994799503E+00      3.309177622926E-01
    0.006310     -3.574024201427E+01      1.984409019174E+00      9.058595584574E-02      1.778104130541E+00      3.443319426551E-02      2.404760876300E+00      3.310397613275E-01
    0.007079     -3.573449866831E+01      1.984136609006E+00      9.072144184782E-02      1.777763523311E+00      3.450039657939E-02      2.404499151484E+00      3.311767832219E-01
    0.007943     -3.572805652951E+01      1.983831603152E+00      9.087330096267E-02      1.777382089243E+00      3.457573328849E-02      2.404206420913E+00      3.313306953042E-01
